datano,fitur0,fitur1,fitur2,fitur3,fitur4,fitur5,fitur6,fitur7,fitur8,fitur9,fitur10,fitur11,fitur12,fitur13,fitur14,fitur15,fitur16,fitur17,fitur18,fitur19,kelas
71,0.008625,0.258879167,0.238758333,0.266579167,0.0606125,0.0363125,0.025166667,0.002816667,0.001095833,0.031633333,0.009333333,0.003283333,0.016008333,0.004983333,0.019775,0.003141667,0.001329167,0.0032375,0.003645833,0.004783333,1
72,0.8291125,0.008004167,0.020004167,0.021183333,0.0069,0.001945833,0.013208333,0.028108333,0.00355,0.002891667,0.0287,0.004708333,0.0053375,0.001445833,0.001583333,0.0069625,0.00605,0.001608333,0.002545833,0.00615,-1
73,0.88535,0.020466667,0.005283333,0.018266667,0.0046625,0.0026875,0.002895833,0.02,0.0059875,0.0109375,0.002216667,0.001558333,0.004458333,0.002045833,0.0009625,0.004525,0.001579167,0.0020375,0.0005875,0.003491667,-1
74,0.854954167,0.024633333,0.007466667,0.002558333,0.005958333,0.016375,0.020920833,0.002941667,0.002020833,0.004025,0.0029375,0.005733333,0.004816667,0.00595,0.010916667,0.0151625,0.005245833,0.004120833,0.00235,0.0009125,-1
75,0.889125,0.027995833,0.021266667,0.001229167,0.001595833,0.02,0.001875,0.002808333,0.0077875,0.000745833,0.001075,0.0012375,0.0010375,0.001966667,0.006229167,0.006629167,0.0021125,0.002595833,0.001695833,0.000991667,-1
76,0.851854167,0.020358333,0.02,0.002108333,0.017166667,0.002804167,0.002804167,0.003979167,0.028541667,0.002016667,0.003345833,0.002125,0.0112875,0.0033875,0.0070625,0.007358333,0.0070125,0.001216667,0.002608333,0.0029625,-1
77,0.104791667,0.046104167,0.19955,0.002395833,0.001158333,0.003004167,0.16745,0.004529167,0.002166667,0.005166667,0.001933333,0.034929167,0.006075,0.063420833,0.1069,0.000904167,0.096370833,0.146520833,0.0025125,0.004116667,-1
78,0.129845833,0.065283333,0.018204167,0.0063625,0.15025,0.0034625,0.187520833,0.008033333,0.045329167,0.009333333,0.003470833,0.00465,0.003245833,0.084866667,0.010308333,0.002820833,0.006625,0.098708333,0.005883333,0.155795833,-1
79,0.195679167,0.008004167,0.078754167,0.172370833,0.0111625,0.001533333,0.0074875,0.005283333,0.0049375,0.008283333,0.00545,0.1032375,0.001416667,0.1605875,0.00745,0.004883333,0.005820833,0.010904167,0.189225,0.017529167,-1
80,0.092120833,0.037566667,0.0913625,0.0025,0.107670833,0.0038875,0.0366625,0.077016667,0.003608333,0.123533333,0.024595833,0.004708333,0.056395833,0.110745833,0.0025,0.0057625,0.084004167,0.0046625,0.069491667,0.061204167,-1
81,0.160166667,0.038091667,0.0179625,0.135941667,0.008191667,0.032395833,0.027404167,0.041704167,0.015120833,0.08535,0.002525,0.133129167,0.001158333,0.035420833,0.0042375,0.0069125,0.007420833,0.0856,0.159229167,0.0020375,-1
82,0.087591667,0.095783333,0.073079167,0.368591667,0.025870833,0.050641667,0.0173,0.034816667,0.0367125,0.006608333,0.064354167,0.013654167,0.036716667,0.002945833,0.023366667,0.020266667,0.011125,0.005225,0.009883333,0.015466667,1
83,0.048870833,0.180775,0.306866667,0.0085125,0.014616667,0.1011375,0.01015,0.0208125,0.008216667,0.0330875,0.0259625,0.0082,0.004204167,0.031133333,0.002241667,0.004629167,0.1308875,0.036425,0.0162,0.007070833,1
84,0.569104167,0.033791667,0.054229167,0.0270625,0.019079167,0.01445,0.055470833,0.047520833,0.004795833,0.013854167,0.040708333,0.0191375,0.0101375,0.033204167,0.004845833,0.020641667,0.006379167,0.008779167,0.009183333,0.007625,1
85,0.009845833,0.014495833,0.051508333,0.0238625,0.0768125,0.269825,0.177054167,0.094216667,0.0265125,0.0470625,0.015454167,0.03485,0.0666,0.005225,0.036816667,0.018666667,0.002933333,0.013308333,0.008708333,0.006241667,1
86,0.0777125,0.161354167,0.145608333,0.0049125,0.207308333,0.10775,0.017704167,0.0150625,0.010991667,0.0191,0.0129625,0.033666667,0.033191667,0.017895833,0.032341667,0.012125,0.016004167,0.008054167,0.025533333,0.040720833,1
87,0.811704167,0.036608333,0.010141667,0.008041667,0.0063875,0.003545833,0.006204167,0.050308333,0.001004167,0.006795833,0.001395833,0.001804167,0.003275,0.0020125,0.002816667,0.001054167,0.000958333,0.034291667,0.003054167,0.008595833,-1
88,0.826541667,0.002583333,0.015466667,0.010658333,0.002779167,0.005020833,0.010183333,0.013970833,0.003733333,0.001270833,0.006404167,0.003804167,0.016533333,0.003579167,0.011008333,0.015408333,0.0055125,0.00715,0.036870833,0.001520833,-1
89,0.817091667,0.003441667,0.01765,0.0174625,0.005583333,0.010345833,0.00365,0.017741667,0.002666667,0.006629167,0.013529167,0.0100125,0.008504167,0.005516667,0.0138375,0.025066667,0.001216667,0.010983333,0.007120833,0.00195,-1
90,0.009645833,0.031154167,0.064245833,0.010191667,0.0051,0.034616667,0.449516667,0.00395,0.005379167,0.006783333,0.029379167,0.004104167,0.003270833,0.032845833,0.161458333,0.0011,0.137479167,0.004854167,0.003641667,0.001283333,-1
91,0.214670833,0.02445,0.0421875,0.124683333,0.024658333,0.010741667,0.008045833,0.153320833,0.006025,0.006108333,0.0191875,0.099533333,0.008470833,0.095041667,0.005041667,0.0299625,0.004854167,0.111604167,0.005383333,0.006029167,-1
92,0.075379167,0.841216667,0.0311,0.014454167,0.001691667,0.001520833,0.002029167,0.002291667,0.0034,0.002033333,0.001758333,0.001758333,0.002416667,0.0008875,0.003133333,0.0051625,0.004029167,0.002375,0.002058333,0.001304167,-1
93,0.003566667,0.005508333,0.032108333,0.082383333,0.002270833,0.014445833,0.002116667,0.0029,0.006979167,0.004416667,0.0016,0.0016,0.007925,0.003191667,0.003591667,0.005208333,0.002654167,0.001495833,0.003333333,0.812704167,-1
94,0.888216667,0.036354167,0.030791667,0.001129167,0.000620833,0.0026875,0.001708333,0.001283333,0.003704167,0.010029167,0.000808333,0.001270833,0.003516667,0.002733333,0.001633333,0.002833333,0.0022,0.005554167,0.001191667,0.001733333,-1
95,0.8837,0.021091667,0.028116667,0.0085875,0.0023125,0.002358333,0.006141667,0.002245833,0.0005875,0.004975,0.002020833,0.002120833,0.001104167,0.002145833,0.007625,0.0041625,0.001375,0.005195833,0.002675,0.011458333,-1
96,0.939058333,0.031779167,0.001370833,0.001695833,0.000679167,0.000983333,0.000925,0.001220833,0.001175,0.002179167,0.009045833,0.000816667,0.0008625,0.000520833,0.002845833,0.0006375,0.001208333,0.000929167,0.001558333,0.000508333,-1
97,0.993120833,0.001079167,0.000254167,7.08333E-05,0.000325,0.0001625,0.000433333,0.000204167,0.000170833,0.0004125,0.000175,0.0002,0.0007,0.000391667,0.000245833,0.000195833,0.001183333,0.000183333,0.0001125,0.000379167,-1
98,0.906516667,0.028320833,0.0033375,0.002658333,0.001866667,0.0018,0.015616667,0.016383333,0.0011625,0.0005625,0.0027625,0.004970833,0.0015125,0.002316667,0.002508333,0.0009375,0.000820833,0.001395833,0.003429167,0.001120833,-1
99,0.77515,0.007158333,0.034775,0.028804167,0.00605,0.019691667,0.003125,0.017225,0.006195833,0.0048125,0.005504167,0.006941667,0.0113875,0.008145833,0.003075,0.005066667,0.005191667,0.000595833,0.006033333,0.045070833,-1
100,0.679283333,0.0505,0.0225875,0.008179167,0.007408333,0.006729167,0.0084125,0.003154167,0.015995833,0.007383333,0.0105875,0.004354167,0.0205375,0.0216,0.0223625,0.014866667,0.0116,0.033429167,0.029970833,0.021058333,-1
101,0.002991667,0.315395833,0.559833333,0.004558333,0.003070833,0.007833333,0.004670833,0.0037875,0.002629167,0.0102375,0.031066667,0.004895833,0.003133333,0.0111875,0.00215,0.0037875,0.005045833,0.012554167,0.010245833,0.000925,-1
102,0.445041667,0.1871125,0.025066667,0.030233333,0.044945833,0.015329167,0.014879167,0.003304167,0.00555,0.0039,0.015291667,0.0347875,0.051391667,0.016966667,0.0109375,0.01015,0.0245625,0.0098375,0.034516667,0.016195833,1
103,0.0448375,0.474245833,0.075475,0.044583333,0.0445125,0.024895833,0.070170833,0.0114,0.0233875,0.007595833,0.0233375,0.016704167,0.030233333,0.024683333,0.012341667,0.015329167,0.004904167,0.0267,0.010804167,0.013858333,1
104,0.0116125,0.480391667,0.014670833,0.075258333,0.041833333,0.0831375,0.023575,0.020245833,0.044545833,0.010545833,0.036904167,0.010325,0.014308333,0.017941667,0.046441667,0.011554167,0.014154167,0.003129167,0.0277625,0.0116625,1
105,0.003175,0.076604167,0.04085,0.022658333,0.013525,0.058170833,0.0022625,0.733391667,0.0064375,0.0030625,0.004095833,0.002495833,0.004925,0.005066667,0.004725,0.005679167,0.003104167,0.002375,0.002470833,0.004925,1
106,0.0336625,0.443058333,0.025779167,0.185441667,0.012491667,0.006541667,0.034975,0.008783333,0.0461375,0.011733333,0.0253625,0.012666667,0.041033333,0.0312375,0.015891667,0.0163625,0.019979167,0.0127375,0.010033333,0.006091667,1
107,0.851383333,0.0385875,0.002816667,0.009808333,0.005520833,0.0063125,0.0115375,0.0028875,0.016229167,0.006325,0.002775,0.003941667,0.003425,0.005425,0.01615,0.002925,0.005129167,0.003891667,0.001575,0.003354167,-1
108,0.847245833,0.007258333,0.009854167,0.002091667,0.004941667,0.005108333,0.003654167,0.0059,0.057208333,0.002341667,0.006279167,0.002608333,0.001904167,0.004104167,0.0103,0.0024,0.014475,0.005308333,0.003708333,0.003308333,-1
109,0.840341667,0.011179167,0.0045,0.008604167,0.003225,0.0102625,0.005054167,0.003479167,0.005016667,0.047566667,0.006266667,0.012120833,0.012204167,0.001775,0.005958333,0.0064375,0.004091667,0.0027125,0.002604167,0.0066,-1
110,0.021175,0.7363375,0.065591667,0.0083625,0.010166667,0.007575,0.013975,0.005354167,0.009058333,0.0093125,0.0100125,0.005575,0.009608333,0.016358333,0.012745833,0.0282125,0.008879167,0.005295833,0.004695833,0.011708333,-1
111,0.004508333,0.012808333,0.321033333,0.096204167,0.085158333,0.0319375,0.017341667,0.0116,0.012308333,0.006983333,0.005983333,0.007875,0.345695833,0.001191667,0.003275,0.005291667,0.004295833,0.008566667,0.010875,0.007066667,-1
112,0.2177,0.027158333,0.232508333,0.05925,0.007595833,0.0167125,0.051233333,0.0770875,0.046670833,0.0436125,0.015445833,0.045595833,0.005054167,0.0157875,0.014633333,0.051820833,0.009041667,0.017070833,0.028945833,0.017075,1
113,0.22455,0.0136875,0.217908333,0.052525,0.060616667,0.083283333,0.0191625,0.006354167,0.062679167,0.012883333,0.023716667,0.046091667,0.016295833,0.0041125,0.033216667,0.052833333,0.029020833,0.015820833,0.0110125,0.014229167,1
114,0.427341667,0.0068875,0.024633333,0.187695833,0.015766667,0.0222625,0.073116667,0.029795833,0.0119125,0.011475,0.01075,0.0140875,0.0212125,0.027729167,0.013575,0.0153625,0.014433333,0.023008333,0.022208333,0.026745833,1
115,0.159458333,0.071491667,0.0629625,0.222179167,0.043525,0.166625,0.015529167,0.0323375,0.010583333,0.027529167,0.05785,0.013679167,0.0387375,0.003054167,0.018133333,0.015404167,0.008716667,0.006008333,0.016925,0.009270833,1
116,0.246616667,0.103875,0.0114625,0.044225,0.068120833,0.211429167,0.0732125,0.014208333,0.014,0.02635,0.0154125,0.0222125,0.00435,0.022116667,0.043445833,0.029370833,0.018116667,0.007545833,0.011275,0.012654167,1
117,0.381075,0.006204167,0.0049375,0.005066667,0.0066375,0.006216667,0.422025,0.004858333,0.0022375,0.019241667,0.000354167,0.0050375,0.054466667,0.0042375,0.003333333,0.031345833,0.01955,0.0042375,0.018125,0.0008125,-1
118,0.678091667,0.010770833,0.006933333,0.006566667,0.0080875,0.009295833,0.0392125,0.010420833,0.041829167,0.007908333,0.008679167,0.002258333,0.007141667,0.008025,0.0507375,0.019004167,0.000366667,0.00765,0.0761625,0.000858333,-1
119,0.3713625,0.008354167,0.00495,0.006875,0.0060625,0.005904167,0.0261125,0.049016667,0.006441667,0.002270833,0.020870833,0.018229167,0.005320833,0.042895833,0.006191667,0.00035,0.0049,0.406125,0.000720833,0.007045833,-1
120,0.819716667,0.005079167,0.006525,0.003154167,0.004766667,0.004291667,0.01405,0.001683333,0.024958333,0.025483333,0.002275,0.009683333,0.017325,0.003520833,0.0003375,0.000825,0.004166667,0.044404167,0.003204167,0.00455,-1
121,0.686870833,0.013433333,0.007183333,0.006525,0.038233333,0.006745833,0.038141667,0.0092875,0.005275,0.0063875,0.008495833,0.008220833,0.002266667,0.00035,0.067725,0.006304167,0.018683333,0.0008625,0.062291667,0.006716667,-1
122,0.131404167,0.091720833,0.072220833,0.018608333,0.074204167,0.157758333,0.012316667,0.003608333,0.003466667,0.180704167,0.045745833,0.072904167,0.019295833,0.040670833,0.007775,0.00625,0.028079167,0.004495833,0.006991667,0.021779167,-1
123,0.121516667,0.128845833,0.020579167,0.230545833,0.014025,0.0016875,0.0708125,0.044620833,0.010691667,0.018820833,0.0240375,0.007983333,0.01215,0.002608333,0.013479167,0.123641667,0.069720833,0.0457875,0.033458333,0.0049875,-1
124,0.073583333,0.035654167,0.285816667,0.019958333,0.128066667,0.073241667,0.0568125,0.008216667,0.05965,0.0115375,0.0028125,0.026216667,0.02155,0.039429167,0.001516667,0.001283333,0.130004167,0.012275,0.0070125,0.0053625,-1
125,0.2904125,0.129204167,0.034683333,0.043258333,0.014770833,0.010970833,0.080129167,0.006404167,0.0545125,0.005941667,0.016895833,0.021129167,0.02705,0.14045,0.01345,0.052641667,0.001379167,0.037679167,0.005054167,0.013983333,-1
126,0.396770833,0.1255625,0.034954167,0.025020833,0.006366667,0.0652875,0.018108333,0.012504167,0.00315,0.046766667,0.029116667,0.006316667,0.012529167,0.008379167,0.002395833,0.124004167,0.009466667,0.015470833,0.006504167,0.051325,-1
127,0.9071375,0.009341667,0.015020833,0.001295833,0.002079167,0.001866667,0.007870833,0.001845833,0.002258333,0.005345833,0.002216667,0.0009375,0.002025,0.0133875,0.010208333,0.0018625,0.0061875,0.000416667,0.003233333,0.0054625,-1
128,0.8300375,0.0066375,0.0132875,0.0164625,0.007291667,0.008220833,0.009041667,0.002120833,0.001520833,0.044425,0.001541667,0.0069125,0.0014,0.010345833,0.006445833,0.0018,0.008004167,0.000958333,0.021691667,0.001854167,-1
129,0.850725,0.007075,0.03815,0.002808333,0.010120833,0.001154167,0.006454167,0.008416667,0.0045,0.007429167,0.006720833,0.00285,0.002408333,0.005825,0.010466667,0.0063375,0.003529167,0.019575,0.002141667,0.0033125,-1
130,0.893754167,0.018066667,0.044995833,0.003104167,0.001241667,0.007095833,0.004379167,0.002929167,0.000529167,0.0003875,0.0019375,0.0060625,0.000775,0.000625,0.000466667,0.000841667,0.006779167,0.004954167,0.0004875,0.0005875,-1
131,0.003395833,0.7536375,0.126883333,0.021520833,0.001420833,0.001158333,0.00355,0.0013375,0.000558333,0.021379167,0.0550625,0.001133333,0.000458333,0.001329167,0.0011625,0.00195,0.000195833,0.002645833,0.000891667,0.000329167,-1
132,0.8342375,0.0789875,0.072779167,0.000416667,0.000895833,0.000579167,0.000895833,0.001241667,0.001241667,0.0012,0.0011125,0.000379167,0.000354167,0.00055,0.001229167,0.000379167,0.000295833,0.002154167,0.000716667,0.000354167,-1
133,0.755679167,0.1828,0.001295833,0.002083333,0.0008625,0.002933333,0.001666667,0.002354167,0.002629167,0.000645833,0.005979167,0.003841667,0.001954167,0.001183333,0.001679167,0.0005875,0.003725,0.0088,0.002325,0.016975,-1
134,0.9901125,0.000504167,0.000375,0.000279167,0.000283333,0.000141667,0.0003375,0.000183333,0.000529167,0.000604167,0.0041875,0.000283333,0.0003625,0.000291667,0.000233333,0.0002,0.000366667,0.000191667,0.000266667,0.000266667,-1
135,0.921445833,0.0346,0.0006,0.001225,0.0022375,0.001520833,0.001316667,0.003091667,0.003004167,0.001020833,0.0014,0.001370833,0.014075,0.003404167,0.0018125,0.0012875,0.000679167,0.001991667,0.002408333,0.001508333,-1
136,0.945733333,0.005891667,0.00125,0.0012,0.00145,0.000795833,0.0013375,0.001333333,0.001716667,0.000825,0.008166667,0.013395833,0.000966667,0.002304167,0.000691667,0.001595833,0.001279167,0.0016625,0.007770833,0.000633333,-1
137,0.8231375,0.016404167,0.051008333,0.006125,0.002666667,0.002166667,0.061425,0.004216667,0.006558333,0.003254167,0.001491667,0.003204167,0.001116667,0.003266667,0.001420833,0.001,0.00295,0.006566667,0.000904167,0.001116667,-1
138,0.0014125,0.107691667,0.082641667,0.766345833,0.001325,0.007154167,0.006608333,0.0019625,0.002316667,0.0007125,0.002025,0.00165,0.002770833,0.002070833,0.001225,0.004625,0.002575,0.002191667,0.001416667,0.001279167,-1
139,0.509229167,0.374983333,0.00455,0.040945833,0.003604167,0.003391667,0.0022625,0.002204167,0.0024625,0.006129167,0.016283333,0.006429167,0.005275,0.003079167,0.003633333,0.002058333,0.00305,0.00425,0.002958333,0.003220833,-1
140,0.798145833,0.035383333,0.061275,0.003066667,0.002441667,0.019695833,0.0307875,0.005129167,0.007666667,0.007866667,0.004545833,0.0038,0.001791667,0.000954167,0.000758333,0.0017875,0.000941667,0.003945833,0.002283333,0.007733333,-1
141,0.860466667,0.04665,0.038679167,0.003816667,0.0021,0.003883333,0.003345833,0.004775,0.002541667,0.005591667,0.0010875,0.0032375,0.012533333,0.001666667,0.001804167,0.00105,0.004245833,0.000883333,0.0008,0.000841667,-1
142,0.0011625,0.867833333,0.040991667,0.003941667,0.0096625,0.0018625,0.001170833,0.003120833,0.008345833,0.002208333,0.0028,0.002795833,0.005970833,0.007920833,0.003304167,0.001375,0.003933333,0.0019,0.028970833,0.000729167,-1
143,0.8195,0.008958333,0.0436625,0.009883333,0.007645833,0.005529167,0.0039625,0.0452875,0.0076875,0.005658333,0.003675,0.004583333,0.0029875,0.004495833,0.001975,0.001308333,0.008133333,0.002295833,0.0101125,0.002658333,-1
144,0.785454167,0.032729167,0.016625,0.041783333,0.022458333,0.006770833,0.0311875,0.001191667,0.018558333,0.006845833,0.0064875,0.003983333,0.001079167,0.002816667,0.004083333,0.002495833,0.0038125,0.002675,0.005754167,0.003208333,-1
145,0.887504167,0.037691667,0.00395,0.004541667,0.010020833,0.004829167,0.001491667,0.0095875,0.0041875,0.004266667,0.003095833,0.003383333,0.003183333,0.002566667,0.000716667,0.0008625,0.007233333,0.004620833,0.0007625,0.005504167,-1
146,0.922104167,0.0071,0.0206875,0.0119,0.0061625,0.001545833,0.001820833,0.001366667,0.003929167,0.001558333,0.001016667,0.003808333,0.001725,0.0019375,0.000820833,0.003454167,0.001808333,0.001145833,0.000879167,0.005229167,-1
147,0.037270833,0.1863625,0.181754167,0.069125,0.110229167,0.1384,0.013733333,0.0371375,0.025429167,0.059775,0.004791667,0.0101625,0.0349375,0.004304167,0.005729167,0.013945833,0.017970833,0.0089,0.024275,0.015766667,1
148,0.2416125,0.037458333,0.2410875,0.01695,0.049258333,0.040229167,0.012979167,0.0062625,0.015108333,0.005816667,0.012720833,0.00985,0.0036,0.0034875,0.004720833,0.006629167,0.233595833,0.004725,0.036733333,0.017175,1
149,0.024808333,0.345,0.012254167,0.104708333,0.120733333,0.173575,0.00445,0.012058333,0.040716667,0.004025,0.002054167,0.00895,0.004770833,0.006454167,0.083233333,0.035333333,0.001145833,0.0063625,0.007916667,0.00145,1
150,0.116379167,0.013654167,0.016025,0.018795833,0.0040375,0.141379167,0.019454167,0.0048,0.007908333,0.014491667,0.012204167,0.013108333,0.002433333,0.005183333,0.008441667,0.0068375,0.0069875,0.573504167,0.007275,0.0071,1
